co2_electricity_mt,electricity_twh,carbon_intensity
1820.610107,3860.192627,471.6371132
1760.016235,3845.280762,457.7081217
1775.652344,3908.346436,454.3231704
1749.036133,4000.0354,437.2551635
1715.483765,4026.335449,426.0657828
1675.465088,4046.103027,414.0935307
1649.080811,4073.442627,404.8371272
1659.186035,4103.396484,404.3445574
1688.459717,4132.831055,408.5479649
1707.15564,4156.212402,410.7479298
1723.559692,4182.706055,412.0680893
1727.383301,4214.995117,409.818577
1730.30481,4249.453613,407.1828916
1738.857666,4281.422852,406.1401375
1739.215088,4304.401367,404.055045
1730.902466,4330.87793,399.6654937
1722.289917,4358.467773,395.1594934
1717.499512,4388.681641,391.3474826
1720.927979,4423.592285,389.0340402
1717.986328,4461.436523,385.0746994
1725.641357,4500.747559,383.4121631
1728.593384,4541.935059,380.5852267
1730.108521,4584.81543,377.3561984
1733.708618,4626.673828,374.7203028
1735.309082,4664.225586,372.0465595
1738.199219,4704.449219,369.4798558
1736.835571,4744.949219,366.0388111
1739.705811,4788.274902,363.326218
1747.521729,4832.529297,361.6163755
1748.993408,4878.784668,358.489568
1746.728882,4928.380859,354.4224629
1751.029175,4979.14502,351.6726603
1755.160156,5027.523926,349.1102542
1765.388794,5077.024414,347.7211552
1776.879761,5132.304199,346.2148174
